id,addressline1,city,state,zipcode,latitude,longitude
"68-Columbia-Blvd,-Buffalo,-NY-14217",68 Columbia Blvd,Buffalo,NY,14217,42.971912,-78.86853
"224-Seford-Dr,-San-Antonio,-TX-78209",224 Seford Dr,San Antonio,TX,78209,29.477561,-98.435931
"730-W-North-St,-Lima,-OH-45801",730 W North St,Lima,OH,45801,40.743054,-84.114555
"110-Skyridge-Rd,-Bristol,-CT-06010",110 Skyridge Rd,Bristol,CT,06010,41.658944,-72.948693
"6214-Willet-Ct,-Lakewood-Ranch,-FL-34202",6214 Willet Ct,Lakewood Ranch,FL,34202,27.429897,-82.406332
"5111-Cale-Ct,-Rapid-City,-SD-57701",5111 Cale Ct,Rapid City,SD,57701,44.03356,-103.227989
"5730-Southern-Pkwy,-Louisville,-KY-40214",5730 Southern Pkwy,Louisville,KY,40214,38.170738,-85.780888
"12-Marie-Ln,-Lawrence,-MA-01843",12 Marie Ln,Lawrence,MA,01843,42.680365,-71.168191
"2706-State-Hwy,-361-Apt-2003,-Ingleside,-TX-78362",2706 State Hwy,Ingleside,TX,78362,27.883263,-97.212754
"218-N-Main-St,-Chagrin-Falls,-OH-44022",218 N Main St,Chagrin Falls,OH,44022,41.435399,-81.393957
"2232-E-Gaisor-Dr,-Crete,-IL-60417",2232 E Gaisor Dr,Crete,IL,60417,41.446784,-87.559272
"2513-Jackalope-St,-Murfreesboro,-TN-37130",2513 Jackalope St,Murfreesboro,TN,37130,35.868035,-86.345406
"550-Mccrory-Creek-Rd,-Apt-C4,-Nashville,-TN-37214",550 Mccrory Creek Rd,Nashville,TN,37214,36.155025,-86.640886
"146-Anthony-St,-Santa-Cruz,-CA-95060",146 Anthony St,Santa Cruz,CA,95060,36.969007,-122.044235
"PO-Box-51,-Saint-Michael,-MN-55376",PO Box 51,Saint Michael,MN,55376,45.209265,-93.694378
"940-Orchard-Ave,-Muskegon,-MI-49442",940 Orchard Ave,Muskegon,MI,49442,43.237075,-86.220756
"4481-N-Dryden-St,-Prescott-Valley,-AZ-86314",4481 N Dryden St,Prescott Valley,AZ,86314,34.607116,-112.358846
"1009-N-Trekell-Rd,-Casa-Grande,-AZ-85122",1009 N Trekell Rd,Casa Grande,AZ,85122,32.883833,-111.740315
"4863-Wilkie-Way-NW,-Acworth,-GA-30102",4863 Wilkie Way NW,Acworth,GA,30102,34.073028,-84.604714
"26-Lahey-St,-New-Hyde-Park,-NY-11040",26 Lahey St,New Hyde Park,NY,11040,40.750069,-73.695715
"1025-S-Charles-St,-Sherman,-TX-75090",1025 S Charles St,Sherman,TX,75090,33.629744,-96.592838
"536-W-85th-Dr,-Merrillville,-IN-46410",536 W 85th Dr,Merrillville,IN,46410,41.463007,-87.34336
"2973-N-Ridgeway-Ave,-Chicago,-IL-60618",2973 N Ridgeway Ave,Chicago,IL,60618,41.935295,-87.719111
"116-E-7th-St,-Auburn,-IN-46706",116 E 7th St,Auburn,IN,46706,41.367251,-85.055341
"2730-Somerset-Dr,-Apt-114,-Lauderdale-Lakes,-FL-33311",2730 Somerset Dr,Lauderdale Lakes,FL,33311,26.16036,-80.189892
"10992-Millersburg-Rd-SW,-Massillon,-OH-44647",10992 Millersburg Rd SW,Massillon,OH,44647,40.782999,-81.560633
"626-Tolland-Tpke,-Manchester,-CT-06042",626 Tolland Tpke,Manchester,CT,06042,41.803278,-72.532098
"6203-Apple-Bluff-Ct,-Sugar-Land,-TX-77479",6203 Apple Bluff Ct,Sugar Land,TX,77479,29.53417,-95.568863
"99-N-Main-St,-Bainbridge,-NY-13733",99 N Main St,Bainbridge,NY,13733,42.2991,-75.472008
"33958-Golden-Lantern-St,-Dana-Point,-CA-92629",33958 Golden Lantern St,Dana Point,CA,92629,33.469627,-117.697412
"2131-Fountain-Hill-Dr,-Lutherville-Timonium,-MD-21093",2131 Fountain Hill Dr,Lutherville Timonium,MD,21093,39.445043,-76.611183
"4523-Fenway-Park-Way,-Spring,-TX-77389",4523 Fenway Park Way,Spring,TX,77389,30.091632,-95.485373
"28413-Connick-Pl,-Santa-Clarita,-CA-91350",28413 Connick Pl,Santa Clarita,CA,91350,34.444614,-118.479348
"504-Fresh-Meadows-Rd,-Simi-Valley,-CA-93065",504 Fresh Meadows Rd,Simi Valley,CA,93065,34.248429,-118.820944
"25443-E-92nd-Ter-S,-Broken-Arrow,-OK-74014",25443 E 92nd Ter S,Broken Arrow,OK,74014,36.028498,-95.693132
"1917-W-Front-St,-Berwick,-PA-18603",1917 W Front St,Berwick,PA,18603,41.047749,-76.269883
"2214-Tamrack-St,-Kalamazoo,-MI-49006",2214 Tamrack St,Kalamazoo,MI,49006,42.313143,-85.636497
"2795-Evans-Mill-Rd,-Apt-2904,-Lithonia,-GA-30058",2795 Evans Mill Rd,Lithonia,GA,30058,33.704861,-84.117254
"1321-Oakpoint-Ave,-Frnt-5,-Bronx,-NY-10474",1321 Oakpoint Ave,Bronx,NY,10474,40.810622,-73.884455
"2472-Douglas-Rd,-Ferndale,-WA-98248",2472 Douglas Rd,Ferndale,WA,98248,48.842394,-122.616377
"1052-Key-Largo-Dr,-Romeoville,-IL-60446",1052 Key Largo Dr,Romeoville,IL,60446,41.632436,-88.112365
"1340-Canyon-Side-Ave,-San-Ramon,-CA-94582",1340 Canyon Side Ave,San Ramon,CA,94582,37.765259,-121.940835
"3-Fair-Lea-Rd,-Southampton,-NY-11968",3 Fair Lea Rd,Southampton,NY,11968,40.87241,-72.3874
"6436-Silver-Star-Ln,-Unit-486,-Charlotte,-NC-28210",6436 Silver Star Ln,Charlotte,NC,28210,35.143123,-80.86308
"9263-Japan-Rose-Ave,-Las-Vegas,-NV-89178",9263 Japan Rose Ave,Las Vegas,NV,89178,36.008916,-115.294985
"216-11th-St,-Pasadena,-MD-21122",216 11th St,Pasadena,MD,21122,39.104103,-76.517409
"1208-Gully-Rd,-Wall-Township,-NJ-07753",1208 Gully Rd,Wall Township,NJ,07753,40.197225,-74.076715
"533-Acton-Rd,-Columbus,-OH-43214",533 Acton Rd,Columbus,OH,43214,40.040126,-83.003407
"1049-Balsa-Cir,-La-Verne,-CA-91750",1049 Balsa Cir,La Verne,CA,91750,34.114664,-117.786176
"128-Road,-1562,-Tupelo,-MS-38804",128 Road,Tupelo,MS,38804,34.304749,-88.62508
"1629-Highway,-356,-Sunset,-LA-70584",1629 Highway,Sunset,LA,70584,30.374009,-92.135871
"38418-N-12th-St,-Phoenix,-AZ-85086",38418 N 12th St,Phoenix,AZ,85086,33.833963,-112.058561
"344-Miami-St,-Indianapolis,-IN-46204",344 Miami St,Indianapolis,IN,46204,39.770592,-86.151493
"5837-Cottle-Rd,-San-Jose,-CA-95123",5837 Cottle Rd,San Jose,CA,95123,37.245343,-121.805003
"1500-Mainsail-Dr,-Unit-1,-Naples,-FL-34114",1500 Mainsail Dr,Naples,FL,34114,26.000945,-81.693476
"737-1-2-W-45th-St,-Los-Angeles,-CA-90037",737 1/2 W 45th St,Los Angeles,CA,90037,34.002839,-118.28682
"303-W-Division-St,-Apt-801,-Chicago,-IL-60610",303 W Division St,Chicago,IL,60610,41.902126,-87.634928
"1204-E-8th-St,-Anderson,-IN-46012",1204 E 8th St,Anderson,IN,46012,40.108139,-85.664597
"3836-Forest-Creek-Way,-Martinez,-GA-30907",3836 Forest Creek Way,Martinez,GA,30907,33.538528,-82.087122
"1307-N-43rd-St,-Apt-308,-Seattle,-WA-98103",1307 N 43rd St,Seattle,WA,98103,47.658812,-122.341854
"8-Scarlet-Oak-Ct,-Durham,-NC-27712",8 Scarlet Oak Ct,Durham,NC,27712,36.129004,-78.853853
"1-Leamington-Pl,-Hilton-Head-Island,-SC-29928",1 Leamington Pl,Hilton Head Island,SC,29928,32.158513,-80.731182
"2115-St-Michaels-Dr,-Unit-101,-Arlington,-TX-76011",2115 St Michaels Dr,Arlington,TX,76011,32.768663,-97.091454
"4-Gooseberry-Ct,-Trabuco-Canyon,-CA-92679",4 Gooseberry Ct,Trabuco Canyon,CA,92679,33.584845,-117.583374
"208-Priddy-Ln,-Fort-Worth,-TX-76114",208 Priddy Ln,Fort Worth,TX,76114,32.762402,-97.394812
"2988-Temple,-Laredo,-TX-78043",2988 Temple,Laredo,TX,78043,27.518134,-99.44019
"801-S-Diane-Ct,-Chandler,-AZ-85226",801 S Diane Ct,Chandler,AZ,85226,33.292767,-111.92341
"605-Cambridge-Ct,-Roanoke-Rapids,-NC-27870",605 Cambridge Ct,Roanoke Rapids,NC,27870,36.441999,-77.634509
"7302-127th-Pl-SE,-Newcastle,-WA-98056",7302 127th Pl SE,Newcastle,WA,98056,47.537794,-122.169932
"8421-Sw-142nd-St,-Palmetto-Bay,-FL-33158",8421 Sw 142nd St,Palmetto Bay,FL,33158,25.638637,-80.330606
"2112-Birch-St,-Port-Arthur,-TX-77640",2112 Birch St,Port Arthur,TX,77640,29.893905,-94.00701
"235-W-Rio-Rdg,-Azle,-TX-76020",235 W Rio Rdg,Azle,TX,76020,32.849097,-97.569789
"32999-Embassy-Ave,-Temecula,-CA-92592",32999 Embassy Ave,Temecula,CA,92592,33.468068,-117.083645
"107-Surfrider-St,-San-Antonio,-TX-78242",107 Surfrider St,San Antonio,TX,78242,29.374336,-98.614331
"1085-Frank-St,-Beaverton,-MI-48612",1085 Frank St,Beaverton,MI,48612,43.885154,-84.324357
"19198-Avon-Ave,-Detroit,-MI-48219",19198 Avon Ave,Detroit,MI,48219,42.431432,-83.226182
"2675-Venice-Dr,-Unit-3,-Grand-Prairie,-TX-75054",2675 Venice Dr,Grand Prairie,TX,75054,32.586169,-97.03718
"424-Waupelani-Dr,-Apt-Q21,-State-College,-PA-16801",424 Waupelani Dr,State College,PA,16801,40.77914,-77.854386
"5786-S-Archer-Ave,-Chicago,-IL-60638",5786 S Archer Ave,Chicago,IL,60638,41.796499,-87.757994
"PO-Box-1354,-Toms-River,-NJ-08754",PO Box 1354,Toms River,NJ,08754,39.9529,-74.2023
"4702-Pennoak-Ln,-Apt-H,-Greensboro,-NC-27407",4702 Pennoak Ln,Greensboro,NC,27407,36.03544,-79.887761
"4-Pine-Ct,-Hilton-Head-Island,-SC-29928",4 Pine Ct,Hilton Head Island,SC,29928,32.127564,-80.798655
"570-Eagles-Crossing-Pl,-Lake-Mary,-FL-32746",570 Eagles Crossing Pl,Lake Mary,FL,32746,28.739886,-81.329805
"10-W-Main-St,-Bellville,-TX-77418",10 W Main St,Bellville,TX,77418,29.950753,-96.257982
"3309-Sw-318th-Pl,-Unit-69,-Federal-Way,-WA-98023",3309 Sw 318th Pl,Federal Way,WA,98023,47.316868,-122.373545
"1185-N-Village-Dr,-Unit-1,-Round-Lake-Beach,-IL-60073",1185 N Village Dr,Round Lake Beach,IL,60073,42.370092,-88.112996
"110-Stump-Dr,-Rostraver-Township,-PA-15012",110 Stump Dr,Rostraver Township,PA,15012,40.175754,-79.809738
"101A-E-Oxford-Ave,-Alexandria,-VA-22301",101A E Oxford Ave,Alexandria,VA,22301,38.826528,-77.060184
"9358-Spanish-Moss-Way,-Bonita-Springs,-FL-34135",9358 Spanish Moss Way,Bonita Springs,FL,34135,26.327189,-81.790157
"3-Idlewild-Mnr,-Greenwich,-CT-06830",3 Idlewild Mnr,Greenwich,CT,06830,41.022358,-73.632556
"1458-King-St,-Denver,-CO-80204",1458 King St,Denver,CO,80204,39.739605,-105.033111
"94-846A-Lelepua-St,-Waipahu,-HI-96797",94-846A Lelepua St,Waipahu,HI,96797,21.410906,-157.995697
"40-Dexter-St,-Providence,-RI-02909",40 Dexter St,Providence,RI,02909,41.815487,-71.430613
"9124-17th-Ave-S,-Minneapolis,-MN-55425",9124 17th Ave S,Minneapolis,MN,55425,44.83777,-93.250786
"4445-Saint-Georges-Ct,-Kissimmee,-FL-34746",4445 Saint Georges Ct,Kissimmee,FL,34746,28.305937,-81.460186
"6406-Euston-Dr,-Amarillo,-TX-79109",6406 Euston Dr,Amarillo,TX,79109,35.141139,-101.909727
"35508-Irvin-Way,-Millsboro,-DE-19966",35508 Irvin Way,Millsboro,DE,19966,38.601267,-75.183668
"2900-Dilido-Rd,-Apt-1137,-Dallas,-TX-75228",2900 Dilido Rd,Dallas,TX,75228,32.810003,-96.688495
"137-Fair-St,-New-Bedford,-MA-02740",137 Fair St,New Bedford,MA,02740,41.623463,-70.930934
"3451-Citation-Dr,-Green-Cove-Springs,-FL-32043",3451 Citation Dr,Green Cove Springs,FL,32043,30.037371,-81.799611
"425-E-Orange-St,-Tarpon-Springs,-FL-34689",425 E Orange St,Tarpon Springs,FL,34689,28.147493,-82.752028
"2621-Centinela-Ave,-Apt-11,-Santa-Monica,-CA-90405",2621 Centinela Ave,Santa Monica,CA,90405,34.024764,-118.450775
"2211-Stephen-Long-Dr-NE,-Atlanta,-GA-30305",2211 Stephen Long Dr NE,Atlanta,GA,30305,33.815233,-84.382076
"12829-Lantana-Ridge-Ct,-Austin,-TX-78732",12829 Lantana Ridge Ct,Austin,TX,78732,30.37129,-97.90043
"1100-Bellevista-Ct,-Severna-Park,-MD-21146",1100 Bellevista Ct,Severna Park,MD,21146,39.04971,-76.528795
"PO-Box-50551,-Knoxville,-TN-37950",PO Box 50551,Knoxville,TN,37950,35.9461,-84.0132
"12335-W-Village-Dr,-Unit-D,-Houston,-TX-77039",12335 W Village Dr,Houston,TX,77039,29.904771,-95.307149
"1919-Ygnacio-Valley-Rd,-Apt-87,-Walnut-Creek,-CA-94598",1919 Ygnacio Valley Rd,Walnut Creek,CA,94598,37.919564,-122.036741
"2608-Silent-Springs-Ln,-Knoxville,-TN-37931",2608 Silent Springs Ln,Knoxville,TN,37931,35.96979,-84.11264
"PO-Box-85177,-Racine,-WI-53408",PO Box 85177,Racine,WI,53408,42.717,-87.8395
"6107-E-Masters-Dr,-Apt-514,-Fort-Worth,-TX-76137",6107 E Masters Dr,Fort Worth,TX,76137,32.85787,-97.291576
"211-White-Squirrel-Dr,-Ruskin,-FL-33570",211 White Squirrel Dr,Ruskin,FL,33570,27.677426,-82.436901
"26930-S-Harlem-Ave,-Monee,-IL-60449",26930 S Harlem Ave,Monee,IL,60449,41.400402,-87.787308
"4660-Norma-Dr,-San-Diego,-CA-92115",4660 Norma Dr,San Diego,CA,92115,32.762698,-117.095429
"101-Del-Rio-Blvd,-Boca-Raton,-FL-33432",101 Del Rio Blvd,Boca Raton,FL,33432,26.348431,-80.097193
"3230-Highland-Woods-Cir,-Dallas,-TX-75241",3230 Highland Woods Cir,Dallas,TX,75241,32.681759,-96.765239
"569-Wren-Ln,-New-Braunfels,-TX-78132",569 Wren Ln,New Braunfels,TX,78132,29.708102,-98.19596
"7525-Fontana-St,-Prairie-Village,-KS-66208",7525 Fontana St,Prairie Village,KS,66208,38.992139,-94.636948
"16805-Meadowvale-Ave,-Cleveland,-OH-44128",16805 Meadowvale Ave,Cleveland,OH,44128,41.434901,-81.562741
"2802-Royalty-Dr,-Garland,-TX-75044",2802 Royalty Dr,Garland,TX,75044,32.963214,-96.670114
"5348-Dierks-Dr,-Rockford,-IL-61108",5348 Dierks Dr,Rockford,IL,61108,42.239784,-89.013828
"9919-S-Calhoun-Ave,-Chicago,-IL-60617",9919 S Calhoun Ave,Chicago,IL,60617,41.714765,-87.561835
"1120-Brittany-Pl,-Fort-Wayne,-IN-46825",1120 Brittany Pl,Fort Wayne,IN,46825,41.156888,-85.156163
"20155-Keswick-St,-Unit-107,-Winnetka,-CA-91306",20155 Keswick St,Winnetka,CA,91306,34.209754,-118.57335
"2484-Centennial-Ln,-Hayward,-CA-94541",2484 Centennial Ln,Hayward,CA,94541,37.676092,-122.057555
"17809-Train-Station-Dr,-Huntersville,-NC-28078",17809 Train Station Dr,Huntersville,NC,28078,35.451139,-80.857306
"6312-Sierra-St,-Cincinnati,-OH-45227",6312 Sierra St,Cincinnati,OH,45227,39.161458,-84.386935
"1477-Levant-Ln,-Unit-6,-Chula-Vista,-CA-91913",1477 Levant Ln,Chula Vista,CA,91913,32.626359,-116.972105
"3000-7th-St-NE,-Apt-319,-Washington,-DC-20017",3000 7th St NE,Washington,DC,20017,38.927864,-76.996379
"1897-The-Oaks-Blvd,-Kissimmee,-FL-34746",1897 The Oaks Blvd,Kissimmee,FL,34746,28.250627,-81.425986
"1102-Homestead-Rd,-Cleveland,-OH-44121",1102 Homestead Rd,Cleveland,OH,44121,41.530101,-81.527011
"2008-Lakeview-Ave,-Jefferson-City,-TN-37760",2008 Lakeview Ave,Jefferson City,TN,37760,36.126204,-83.499794
"101-Paris-St,-Greer,-SC-29650",101 Paris St,Greer,SC,29650,34.938499,-82.231577
"94-1017-Halekapio-St,-Waipahu,-HI-96797",94-1017 Halekapio St,Waipahu,HI,96797,21.390592,-158.015431
"1035-Seaside-Dr,-Unit-602,-Sarasota,-FL-34242",1035 Seaside Dr,Sarasota,FL,34242,27.249025,-82.535737
"40-E-Pineridge-Ct,-Apt-6,-Spokane,-WA-99208",40 E Pineridge Ct,Spokane,WA,99208,47.736139,-117.410026
"8-Hampshire-Ave,-Daly-City,-CA-94015",8 Hampshire Ave,Daly City,CA,94015,37.656637,-122.463507
"120-E-Cortez-Dr,-Unit-202B,-Sedona,-AZ-86351",120 E Cortez Dr,Sedona,AZ,86351,34.779803,-111.760834
"1321-Old-Hwy,-12,-Starkville,-MS-39759",1321 Old Hwy,Starkville,MS,39759,33.438977,-88.864647
"16211-S-18th-Pl,-Phoenix,-AZ-85048",16211 S 18th Pl,Phoenix,AZ,85048,33.299186,-112.043778
"6404-Wolf-Run-Hunt-Ct,-Fairfax-Station,-VA-22039",6404 Wolf Run Hunt Ct,Fairfax Station,VA,22039,38.781115,-77.33828
"5510-Juniper-Dr,-Garland,-TX-75043",5510 Juniper Dr,Garland,TX,75043,32.847949,-96.58573
"6824-Bogey-Dr,-Fort-Myers,-FL-33919",6824 Bogey Dr,Fort Myers,FL,33919,26.541114,-81.90555
"2000-Sun-Valley-Dr,-Virginia-Beach,-VA-23464",2000 Sun Valley Dr,Virginia Beach,VA,23464,36.773327,-76.188274
"1505-Northpark-Blvd,-Apt-I95,-San-Bernardino,-CA-92407",1505 Northpark Blvd,San Bernardino,CA,92407,34.176763,-117.321982
"11140-76th-Dr,-Forest-Hills,-NY-11375",11140 76th Dr,Forest Hills,NY,11375,40.715879,-73.834808
"107-Man-Owar-Blvd,-Ozona,-TX-76943",107 Man Owar Blvd,Ozona,TX,76943,30.703348,-101.209509
"7240-Sanza-Pl,-Rancho-Cucamonga,-CA-91701",7240 Sanza Pl,Rancho Cucamonga,CA,91701,34.122562,-117.549225
"6364-S-Madison-St,-Wichita,-KS-67216",6364 S Madison St,Wichita,KS,67216,37.579401,-97.308886
"5404-Alabaster-Ct,-Las-Vegas,-NV-89149",5404 Alabaster Ct,Las Vegas,NV,89149,36.259194,-115.267429
"3445-Garrison-St,-San-Diego,-CA-92106",3445 Garrison St,San Diego,CA,92106,32.728308,-117.233293
"4914-4th-St-NW,-Washington,-DC-20011",4914 4th St NW,Washington,DC,20011,38.950536,-77.017835
"114-Creekside-Ln,-Chapel-Hill,-TN-37034",114 Creekside Ln,Chapel Hill,TN,37034,35.621288,-86.604635
"6135-S-Talman-Ave,-Chicago,-IL-60629",6135 S Talman Ave,Chicago,IL,60629,41.781795,-87.68945
"951-E-Teague-Ave,-Fresno,-CA-93720",951 E Teague Ave,Fresno,CA,93720,36.858933,-119.767679
"5220-Calle-Nuestra-NW,-Albuquerque,-NM-87120",5220 Calle Nuestra NW,Albuquerque,NM,87120,35.146671,-106.70285
"1017-Barton-St,-Otsego,-MI-49078",1017 Barton St,Otsego,MI,49078,42.444712,-85.685439
